policy,episodes,intercepted_episodes,interception_ratio,avg_intercept_rate,conditional_mean_tti,conditional_p95_tti,avg_intercept_time_error,empirical_pd,empirical_pfa,correct_observation_fraction,avg_reward_per_observation,retunes,retune_dead_slots,coverage_violations,max_observed_age,observations
SEQUENTIAL,203,26,0.12807881773399016,0.04465958775765147,6.076923076923077,17.0,6.076923076923077,0.89937106918239,0.01466275659824047,0.958,0.276,500,500,0,19,500
RANDOM,203,26,0.12807881773399016,0.05965021861336665,6.384615384615385,38.0,6.384615384615385,0.9458128078817734,0.007712082262210797,0.9763513513513513,0.31925675675675674,408,408,0,178,592
DTS,203,12,0.059113300492610835,0.24921923797626483,42.333333333333336,187.3499999999998,42.333333333333336,0.9079545454545455,0.0,0.9143763213530656,0.8446088794926004,54,54,0,499,946
RAFTS,203,23,0.11330049261083744,0.1127420362273579,8.695652173913043,31.59999999999998,8.695652173913043,0.9120603015075377,0.017543859649122806,0.9376996805111821,0.5734824281150159,374,374,55,38,626
