policy,episodes,intercepted_episodes,interception_ratio,avg_intercept_rate,conditional_mean_tti,conditional_p95_tti,avg_intercept_time_error,empirical_pd,empirical_pfa,correct_observation_fraction,avg_reward_per_observation,retunes,retune_dead_slots,coverage_violations,max_observed_age,observations
SEQUENTIAL,112,37,0.33035714285714285,0.048051456678017405,6.0,19.39999999999999,6.0,0.927007299270073,0.013774104683195593,0.97,0.244,500,500,0,19,500
RANDOM,112,31,0.2767857142857143,0.0571320469163829,5.67741935483871,17.5,5.67741935483871,0.9565217391304348,0.009280742459396751,0.981418918918919,0.2533783783783784,408,408,0,178,592
DTS,112,23,0.20535714285714285,0.28603859250851305,34.95652173913044,201.79999999999993,34.95652173913044,0.9131483715319663,0.022222222222222223,0.9194776931447225,0.8215451577801959,81,81,0,483,919
RAFTS,112,29,0.25892857142857145,0.12447975785092698,9.827586206896552,35.19999999999999,9.827586206896552,0.9019073569482289,0.007936507936507936,0.938610662358643,0.531502423263328,381,381,0,32,619
