policy,episodes,intercepted_episodes,interception_ratio,avg_intercept_rate,conditional_mean_tti,conditional_p95_tti,avg_intercept_time_error,empirical_pd,empirical_pfa,correct_observation_fraction,avg_reward_per_observation,retunes,retune_dead_slots,coverage_violations,max_observed_age,observations
SEQUENTIAL,29,17,0.5862068965517241,0.04535637149028078,6.647058823529412,13.599999999999998,6.647058823529412,0.9130434782608695,0.014675052410901468,0.982,0.028,500,500,0,19,500
RANDOM,29,16,0.5517241379310345,0.06047516198704104,3.75,12.0,3.75,0.9655172413793104,0.012433392539964476,0.9864864864864865,0.03547297297297297,408,408,0,178,592
DTS,29,29,1.0,0.8488120950323974,1.206896551724138,0.5999999999999979,1.206896551724138,0.916083916083916,0.008928571428571428,0.9490196078431372,0.5098039215686274,235,235,0,125,765
RAFTS,29,23,0.7931034482758621,0.20734341252699784,3.782608695652174,10.599999999999994,3.782608695652174,0.9142857142857143,0.01647058823529412,0.969811320754717,0.16792452830188678,470,470,9,27,530
