policy,policy_label,runs,mean_interception_ratio,ir_ci95_low,ir_ci95_high,mean_capped_p95_tti,mean_reward_per_receiver_time,mean_retune_dead_fraction,coverage_violations_total
sequential,Sequential,480,0.16377456919001904,0.14377852164766736,0.18468139612925324,5.9027272727272715,0.043465224358974354,0.5207692307692308,0
random,Random,480,0.1562136126588069,0.13872553826248038,0.17541515058521748,9.393749999999995,0.05973397435897434,0.327726282051282,373420
coverage_sweep,Coverage Sweep,480,0.16169412174236106,0.1429023477314981,0.18171469766507703,6.038181818181816,0.04338221153846153,0.5189294871794872,0
rafts_cusum_ucb,RAFTS-CUSUM-UCB,480,0.1733425245322989,0.15497793208827512,0.19299702869383203,12.536931818181815,0.09061490384615384,0.13175592948717946,0
