source,configuration,metric,full_minus_ablation,ci_low,ci_high,pairs,higher_is_better
tsrd,RETUNE_UNAWARE,interception_ratio,-0.16865723036038371,-0.21702276299585177,-0.1257596982758621,80,True
tsrd,RETUNE_UNAWARE,capped_p95_tti,7.180625000000003,5.303484374999997,9.033859374999997,80,False
tsrd,RETUNE_UNAWARE,avg_reward_per_receiver_time,-0.20243750000000002,-0.21530125,-0.1899740625,80,True
tsrd,RETUNE_UNAWARE,retune_dead_fraction,-0.07511250000000001,-0.07843749999999998,-0.07199968749999996,80,False
tsrd,RETUNE_UNAWARE,coverage_violations,0.0,0.0,0.0,80,False
tsrd,GREEDY_ASSIGNMENT,interception_ratio,0.08042256773399015,0.0657666256157636,0.09477484119782213,80,True
tsrd,GREEDY_ASSIGNMENT,capped_p95_tti,-0.2793750000000088,-1.6182031250000062,1.0181718749999726,80,False
tsrd,GREEDY_ASSIGNMENT,avg_reward_per_receiver_time,0.00495000000000001,-0.009213125000000011,0.018700625000000016,80,True
tsrd,GREEDY_ASSIGNMENT,retune_dead_fraction,-0.002050000000000024,-0.003125312500000003,-0.0010249999999999981,80,False
tsrd,GREEDY_ASSIGNMENT,coverage_violations,0.0,0.0,0.0,80,False
